date,LoggerID,FullLoggerID,TempInSitu,ECond.mS.cm,Salinity_psu,drift.correction.ec
2023-02-24T20:10:00Z,323,CT_323_HighSGD_20230302,28.849999999999998,58364.74231755699,35.8510142948182,951.7423175569928
2023-02-24T20:15:00Z,323,CT_323_HighSGD_20230302,28.82,58364.90570679606,35.87372821646891,951.9057067960584
2023-02-24T20:20:00Z,323,CT_323_HighSGD_20230302,28.81,58365.06909603513,35.88138046187536,952.0690960351241
2023-02-24T20:25:00Z,323,CT_323_HighSGD_20230302,28.81,58365.23248527419,35.881493819896605,952.2324852741896
2023-02-24T20:30:00Z,323,CT_323_HighSGD_20230302,28.799999999999997,58365.395874513255,35.88914880792244,952.3958745132552
2023-02-24T20:35:00Z,323,CT_323_HighSGD_20230302,28.79,58365.55926375232,35.89680651523737,952.5592637523207
2023-02-24T20:40:00Z,323,CT_323_HighSGD_20230302,28.759999999999998,58365.72265299139,35.91956900337074,952.7226529913863
2023-02-24T20:45:00Z,323,CT_323_HighSGD_20230302,28.759999999999998,58365.88604223045,35.91968248451365,952.886042230452
2023-02-24T20:50:00Z,323,CT_323_HighSGD_20230302,28.75,58366.04943146952,35.92735105712448,953.0494314695175
2023-02-24T20:55:00Z,323,CT_323_HighSGD_20230302,28.74,58366.212820708584,35.935022355420514,953.2128207085831
2023-02-24T21:00:00Z,323,CT_323_HighSGD_20230302,28.74,58366.37620994765,35.935135885958545,953.3762099476486
2023-02-24T21:05:00Z,323,CT_323_HighSGD_20230302,28.72,58366.53959918671,35.9503731342021,953.5395991867142
2023-02-24T21:10:00Z,323,CT_323_HighSGD_20230302,28.709999999999997,58366.70298842578,35.958052617256456,953.7029884257798
2023-02-24T21:15:00Z,323,CT_323_HighSGD_20230302,28.689999999999998,58366.86637766485,35.973306123143246,953.8663776648453
2023-02-24T21:20:00Z,323,CT_323_HighSGD_20230302,28.689999999999998,58367.029766903914,35.973419777120014,954.029766903911
2023-02-24T21:25:00Z,323,CT_323_HighSGD_20230302,28.669999999999998,58367.193156142974,35.98868416712944,954.1931561429765
2023-02-24T21:30:00Z,323,CT_323_HighSGD_20230302,28.66,58367.35654538204,35.99637729242341,954.3565453820421
2023-02-24T21:35:00Z,323,CT_323_HighSGD_20230302,28.66,58367.51993462111,35.9964910206081,954.5199346211077
2023-02-24T21:40:00Z,323,CT_323_HighSGD_20230302,28.639999999999997,58367.683323860176,36.011771756059666,954.6833238601732
2023-02-24T21:45:00Z,323,CT_323_HighSGD_20230302,28.639999999999997,58367.846713099236,36.011885533761784,954.8467130992389
2023-02-24T21:50:00Z,323,CT_323_HighSGD_20230302,28.619999999999997,58368.0101023383,36.02717717903114,955.0101023383045
2023-02-24T21:55:00Z,323,CT_323_HighSGD_20230302,28.61,58368.17349157737,36.03488400349703,955.17349157737
2023-02-24T22:00:00Z,323,CT_323_HighSGD_20230302,28.61,58368.33688081644,36.0349978555437,955.3368808164356
2023-02-24T22:05:00Z,323,CT_323_HighSGD_20230302,28.599999999999998,58368.5002700555,36.04270744851997,955.5002700555011
2023-02-24T22:10:00Z,323,CT_323_HighSGD_20230302,28.59,58368.663659294565,36.05041978650982,955.6636592945667
2023-02-24T22:15:00Z,323,CT_323_HighSGD_20230302,28.57,58368.82704853363,36.06573875140899,955.8270485336324
2023-02-24T22:20:00Z,323,CT_323_HighSGD_20230302,28.56,58368.9904377727,36.07345930737407,955.9904377726979
2023-02-24T22:25:00Z,323,CT_323_HighSGD_20230302,28.549999999999997,58369.15382701176,36.081182613526614,956.1538270117635
2023-02-24T22:30:00Z,323,CT_323_HighSGD_20230302,28.549999999999997,58369.31721625083,36.081296614508965,956.317216250829
2023-02-24T22:35:00Z,323,CT_323_HighSGD_20230302,28.54,58369.480605489895,36.089022697001255,956.4806054898946
2023-02-24T22:40:00Z,323,CT_323_HighSGD_20230302,28.52,58369.64399472896,36.104369046089396,956.6439947289603
2023-02-24T22:45:00Z,323,CT_323_HighSGD_20230302,28.509999999999998,58369.80738396803,36.11210336597595,956.8073839680258
2023-02-24T22:50:00Z,323,CT_323_HighSGD_20230302,28.5,58369.97077320709,36.119840442545836,956.9707732070914
2023-02-24T22:55:00Z,323,CT_323_HighSGD_20230302,28.49,58370.13416244616,36.12758027710054,957.1341624461569
