Taxa,Identification_notes,C_only,Genus,Family,Taxon_Group,Identified,Morphology,Morph,Secondary_Morphology,Morph2,Symbiosis,Symb,Calcification,Calc,Energetic_Resource,ER,Feeding_Mode,FM,Life_Span,Teixido life span,Growth_rate,GR_unit,GR_Teixido,GR_cat,Max_size,MS_unit,MS_cat,Observation_notes
Grey Sponge,,no,Grey Sponge,NA,Porifera,yes,Encrusting,Enc,Encrusting,Enc,unk,unk,Non-Calcified,NC,Heterotrophy,Het,Active Filter-feeding (pumping),Act FF,unk,,,,,,,,21-50 cm,assumed max size category estimated from field survey
Halimeda distorta,"(Yamada) Hillis-Colinvaux, 1968",,Halimeda,Halimedaceae,Chlorophyta,yes,Branched Matting,Br Mat,Branched,Br,Asymbiotic,Asym,Articulated Calcification,AC,Autotrophy,Auto,Photosynthesis,Photo,unreported,"5 years, based on H. tuna",6.9,g dry wt m-2 d-1,"moderate (> 1 cm/yr, based on H. tuna",Fast weedy,70,"cm, length",51-100 cm,
Halimeda incrassata,"(J.Ellis) J.V.Lamouroux, 1816",,Halimeda,Halimedaceae,Chlorophyta,yes,Branched Globular,Br Glob,Branched,Br,Asymbiotic,Asym,Articulated Calcification,AC,Autotrophy,Auto,Photosynthesis,Photo,unreported,"5 years, based on H. tuna",,,"moderate (> 1 cm/yr, based on H. tuna",,10,"cm, height",< 10cm,
Halimeda macroloba,"Decaisne, 1841",,Halimeda,Halimedaceae,Chlorophyta,yes,Branched Erect,Br Erec,Branched,Br,Asymbiotic,Asym,Articulated Calcification,AC,Autotrophy,Auto,Photosynthesis,Photo,unreported,"5 years, based on H. tuna",,,"moderate (> 1 cm/yr, based on H. tuna",,15,"cm, height",10-20 cm,
Halimeda minima,"(W.R.Taylor) Hillis-Colinvaux, 1968",,Halimeda,Halimedaceae,Chlorophyta,yes,Branched Matting,Br Mat,Branched,Br,Asymbiotic,Asym,Articulated Calcification,AC,Autotrophy,Auto,Photosynthesis,Photo,unreported,"5 years, based on H. tuna",,,"moderate (> 1 cm/yr, based on H. tuna",,7,"cm, height",< 10cm,assumed max size category estimated from field survey
Halimeda opuntia,"(Linnaeus) J.V.Lamouroux, 1816",,Halimeda,Halimedaceae,Chlorophyta,yes,Branched Matting,Br Mat,Branched,Br,Asymbiotic,Asym,Articulated Calcification,AC,Autotrophy,Auto,Photosynthesis,Photo,unreported,"5 years, based on H. tuna",0.25,g 15day-1,"moderate (> 1 cm/yr, based on H. tuna",Fast weedy,30,"cm, length",21-50 cm,
Heteractis magnifica,"Quoy and Gaimard, 1833; previously Heteractis magnifica; hundreds of years life span",,Radianthus,Stichodactylidae,Cnidaria,yes,Polypoid,Poly,Polypoid,Poly,Symbiodineaceae,Symb,Non-Calcified,NC,Mixotrophy,Mix,Passive Filter-feeding,Pas FF,Perennial,,0.75,cm2 day-1,very high (>10 cm/yr),,28,"cm, diameter",51-100 cm,
Hydroclathrus clathratus,"(C.Agardh) M.Howe, 1920",,Hydroclathrus,Scytosiphonaceae,Phaeophyta,yes,Spherical,Sph,Spherical,Sph,Asymbiotic,Asym,Non-Calcified,NC,Autotrophy,Auto,Photosynthesis,Photo,Annual,3-11 months (Toste et al. 2003),0.25,cm day-1,very high (>10 cm/yr) (Clayton 1981),,15,"cm, diameter",10-20 cm,
Hypnea pannosa,"J.Agardh, 1847",no,Hypnea,Cystocloniaceae,Rhodophyta,yes,Branched Globular,Br Glob,Branched,Br,Asymbiotic,Asym,Non-Calcified,NC,Autotrophy,Auto,Photosynthesis,Photo,Annual,,25%,day-1,very high (>10 cm/yr) Nauer et al. 2021) based on H. spinella,,8,"cm, height",< 10cm,
Lendenfeldia chondrodes,"de Laubenfels, 1954; Freeman and Easson 2016; authors indicate may be phototrophic",no,Lendenfeldia,Thorectidae,Porifera,yes,Encrusting Digitate,Enc Dig,Encrusting,Enc,Cyanobacterium,Cyano,Non-Calcified,NC,Heterotrophy,Het,Active Filter-feeding (pumping),Act FF,unk,,,,,,,,21-50 cm,assumed max size category estimated from field survey
