date,pre_post,AT,ET,SpeciesID,BW.g,Temp.c,Salinity,sw_dens,skel_dens,dry_weight.g
2/11/2023,pre,LOW,HIGH,ME11LH,6.1312,29.134,36.5,1.0231457326537878,2.93,9.420969555791618
2/11/2023,pre,LOW,LOW,ME12LL,2.6276,29.168,36.5,1.0231342718169054,2.93,4.037446311091688
2/11/2023,pre,LOW,HIGH,ME12LH,3.6014,29.192,36.5,1.023126176758163,2.93,5.533718000313511
2/11/2023,pre,LOW,LOW,ME13LL,8.2063,29.222,36.5,1.0231160520528806,2.93,12.609293305911656
2/11/2023,pre,LOW,HIGH,ME13LH,12.0553,29.265,36.5,1.023101528583776,2.93,18.523287699615636
2/11/2023,pre,LOW,LOW,PR1LL,10.4216,29.32,36.5,1.0230829325054334,2.93,16.012908227896492
2/11/2023,pre,LOW,HIGH,PR1LH,12.0147,29.365,36.5,1.0230677012235068,2.93,18.460577243663366
2/11/2023,pre,LOW,LOW,PR2LL,8.0252,29.414,36.5,1.0230510993692905,2.93,12.330606232932078
2/11/2023,pre,LOW,HIGH,PR2LH,6.2825,29.402,36.5,1.0230551667367918,2.93,9.652992933466393
2/11/2023,pre,LOW,LOW,PR3LL,4.4439,29.4,36.5,1.0230558445300326,2.93,6.82800645349316
2/11/2023,pre,LOW,HIGH,PR3LH,4.7632,29.539,36.5,1.023008669018728,2.93,7.31842655667377
2/11/2023,pre,HIGH,HIGH,PR13HH,7.4874,29.453,36.5,1.0230378732278573,2.93,11.504204353095323
2/11/2023,pre,HIGH,LOW,PR13HL,6.6207,29.49,36.5,1.023025315179518,2.93,10.172474314637345
2/11/2023,pre,LOW,LOW,PR4LL,11.0996,29.545,36.5,1.0230066295210551,2.93,17.053980629115706
2/11/2023,pre,LOW,HIGH,PR4LH,8.948,29.596,36.5,1.022989283293566,2.93,13.748029714945728
2/11/2023,pre,LOW,LOW,PR5LL,4.2698,29.579,36.5,1.0229950674561556,2.93,6.560294515500614
2/11/2023,pre,LOW,HIGH,PR5LH,4.2827,29.576,36.5,1.022996087974145,2.93,6.5801181218708855
2/11/2023,pre,LOW,LOW,PR6LL,5.4501,29.58,36.5,1.022994727269052,2.93,8.373753983979139
2/11/2023,pre,LOW,HIGH,PR6LH,6.7881,29.574,36.5,1.0229967682833694,2.93,10.429522440869887
2/11/2023,pre,LOW,LOW,PR7LL,6.2488,29.614,36.5,1.0229831566124055,2.93,9.600850702228835
2/11/2023,pre,LOW,HIGH,PR7LH,7.7753,29.63,36.5,1.022977708710763,2.93,11.946178659819724
2/11/2023,pre,LOW,LOW,PR8LL,7.5868,29.615,36.5,1.02298281617267,2.93,11.656593442638187
2/11/2023,pre,LOW,HIGH,PR8LH,5.765,29.589,36.5,1.0229916652602398,2.93,8.857564852911398
2/11/2023,pre,LOW,LOW,PR9LL,9.6669,29.672,36.5,1.0229633991828369,2.93,14.852371993208305
2/11/2023,pre,LOW,HIGH,PR9LH,9.7526,29.64,36.5,1.022974302834324,2.93,14.984128448017179
2/11/2023,pre,LOW,LOW,PR10LL,10.2247,29.63,36.5,1.022977708710763,2.93,15.709502262685522
2/11/2023,pre,LOW,HIGH,PR10LH,12.6677,29.635,36.5,1.022976005862718,2.93,19.462975355373572
2/11/2023,pre,LOW,LOW,PR11LL,8.7529,29.64,36.5,1.022974302834324,2.93,13.448165401292945
2/11/2023,pre,LOW,HIGH,PR11LH,12.0156,29.649,36.5,1.0229712369287784,2.93,18.46102622138855
2/11/2023,pre,LOW,LOW,PR12LL,11.4303,29.596,36.5,1.022989283293566,2.93,17.56192490508987
2/11/2023,pre,LOW,HIGH,PR12LH,6.5152,29.579,36.5,1.0229950674561556,2.93,10.010218470979812
2/16/2023,pre,LOW,HIGH,PA1LH,9.4744,31.343,36.4,1.0223089619357464,2.93,14.551618394228154
2/16/2023,pre,LOW,LOW,PA1LL,5.4005,31.37,36.4,1.0222994380306492,2.93,8.294522377068011
2/16/2023,pre,LOW,HIGH,PA2LH,12.6822,31.483,36.5,1.0223343961044127,2.93,19.47870000073337
2/16/2023,pre,LOW,LOW,PA2LL,13.5644,31.472,36.4,1.0222634126203127,2.93,20.83290338032921
2/16/2023,pre,LOW,HIGH,PA3LH,13.5866,31.706,36.4,1.0221804904794807,2.93,20.866092311848142
2/16/2023,pre,LOW,LOW,PA3LL,13.2693,31.66,36.4,1.0221968216814292,2.93,20.37896227548262
2/16/2023,pre,LOW,LOW,PA3LL_2,13.1275,31.72,36.4,1.0221755171775309,2.93,20.160961003653917
2/16/2023,pre,LOW,HIGH,PA4LH,5.0938,31.692,36.4,1.0221854624114666,2.93,7.823000457300688
2/16/2023,pre,LOW,LOW,PA4LL,6.2638,31.72,36.4,1.0221755171775309,2.93,9.61982308396019
2/16/2023,pre,LOW,HIGH,PA5LH,4.3151,31.592,36.4,1.0222209363433201,2.93,6.627205026438666
2/16/2023,pre,LOW,LOW,PA5LL,6.3654,31.632,36.4,1.0222067551671674,2.93,9.77601847082451
2/16/2023,pre,LOW,LOW,PA5LH_2,4.2974,31.65,36.4,1.022200369984564,2.93,6.599949911877341
2/16/2023,pre,LOW,HIGH,PA6LH,9.2757,31.594,36.4,1.0222202275505434,2.93,14.245774796692384
2/16/2023,pre,LOW,LOW,PA6LL,8.409,31.628,36.4,1.0222081737887498,2.93,12.914600881234612
2/16/2023,pre,LOW,HIGH,PA7LH,7.4922,31.77,36.4,1.022157744206142,2.93,11.506268892689798
2/16/2023,pre,LOW,LOW,PA7LL,5.7304,31.753,36.4,1.0221637889756887,2.93,8.800583563190397
2/16/2023,pre,LOW,LOW,PA7LH_2,7.4028,31.738,36.4,1.022169120919654,2.93,11.36903917314494
2/16/2023,pre,LOW,HIGH,PA8LH,9.665,31.68,36.5,1.0222645748197545,2.93,14.84401328728507
2/16/2023,pre,LOW,LOW,PA8LL,12.7185,31.742,36.5,1.0222425444498542,2.93,19.533512969159762
2/16/2023,pre,LOW,HIGH,PA9LH,14.3154,31.62,36.4,1.0222110106959872,2.93,21.985723911375434
2/16/2023,pre,LOW,LOW,PA9LL,11.6212,31.775,36.5,1.0222308076610858,2.93,17.848131805847412
2/16/2023,pre,LOW,LOW,PA9LH_2,14.212,31.99,36.5,1.0221541548317838,2.93,21.82627076787143
2/16/2023,pre,LOW,HIGH,PA10LH,11.0628,31.801,36.5,1.0222215551412601,2.93,16.990444612345996
2/16/2023,pre,LOW,LOW,PA10LL,12.9284,31.722,36.5,1.0222496539547152,2.93,19.855958657549014
2/16/2023,pre,LOW,HIGH,PA11LH,4.7839,31.713,36.5,1.0222528523204513,2.93,7.3473190705849545
2/16/2023,pre,LOW,LOW,PA11LL,7.7883,31.725,36.5,1.0222485877070744,2.93,11.961578879175345
2/16/2023,pre,LOW,HIGH,PA12LH,10.802,31.773,36.4,1.0221566772726156,2.93,16.589339188898645
2/16/2023,pre,LOW,LOW,PA12LL,11.3454,31.822,36.5,1.0222140785094962,2.93,17.424398422035146
2/16/2023,pre,LOW,LOW,PA12LL_2,11.2914,31.79,36.5,1.0222254702445006,2.93,17.3415681381594
2/16/2023,pre,LOW,HIGH,PA13LH,3.8141,31.809,36.5,1.0222187072632758,2.93,5.857753738621129
2/16/2023,pre,LOW,LOW,PA13LL,5.9751,31.721,36.5,1.0222500093566265,2.93,9.176801512705493
2/16/2023,pre,LOW,HIGH,PR13LH,9.0685,31.706,36.5,1.0222553395470495,2.93,13.927809916496578
2/16/2023,pre,LOW,LOW,PR13LL,6.4745,31.64,36.5,1.0222787737048806,2.93,9.943950268269093
2/16/2023,pre,LOW,LOW,PR13LL_2,6.4315,31.648,36.5,1.0222759348228454,2.93,9.877893424933069
4/2/2023,post,HIGH,LOW,PA5HL,18.7007,29.3,36.3,1.0229394717760714,2.93,28.731679036443335
4/2/2023,post,HIGH,LOW,PA12HL,15.6615,29.2,36.3,1.0229732290753373,2.93,24.062690518890893
4/2/2023,post,HIGH,LOW,PA8HL,12.6712,29.2,36.3,1.0229732290753373,2.93,19.46832449656612
4/2/2023,post,HIGH,LOW,PA12HL_2,15.8721,29.2,36.3,1.0229732290753373,2.93,24.386261225609815
4/2/2023,post,HIGH,LOW,PA7HL,21.2896,29,36.3,1.0230405255374115,2.93,32.710987745336986
4/2/2023,post,HIGH,LOW,PA6HL,14.2068,29,36.3,1.0230405255374115,2.93,21.828426118877456
4/2/2023,post,HIGH,LOW,PA13HL,15.8486,28.9,36.3,1.0230740644844107,2.93,24.3514428825704
4/2/2023,post,HIGH,LOW,PA4HL,11.005,29.8,36.3,1.0227695989204155,2.93,16.90653105243497
4/2/2023,post,HIGH,LOW,PA3HL,11.4419,29.7,36.3,1.022803717978698,2.93,17.578037098766508
4/2/2023,post,HIGH,LOW,PA10HL,18.8848,29.7,36.3,1.022803717978698,2.93,29.012464276281538
4/2/2023,post,HIGH,LOW,PA3HL_2,11.4086,29.6,36.3,1.02283776490173,2.93,17.52719164884135
4/2/2023,post,HIGH,HIGH,PA5HH,16.1179,29.5,36.3,1.022871739581135,2.93,24.76259619246994
4/2/2023,post,HIGH,HIGH,PA10HH,25.1004,29.5,36.3,1.022871739581135,2.93,38.562782339478
4/2/2023,post,HIGH,HIGH,PA8HH,15.7163,29.4,36.3,1.022905641908641,2.93,24.146030742855377
4/2/2023,post,HIGH,HIGH,PA1HH,22.0637,29.9,36.3,1.0227354078353696,2.93,33.89495157912514
4/2/2023,post,HIGH,HIGH,PA11HH,10.591,29.8,36.3,1.0227695989204155,2.93,16.270519797940825
4/2/2023,post,HIGH,HIGH,PA6HH,12.1382,29.8,36.3,1.0227695989204155,2.93,18.647419829229094
4/2/2023,post,HIGH,HIGH,PA6HH_2,12.0099,29.7,36.4,1.0228787829510213,2.93,18.451374084364915
4/2/2023,post,HIGH,HIGH,PA3HH,10.7806,29.7,36.3,1.022803717978698,2.93,16.562090801961407
4/2/2023,post,HIGH,HIGH,PA4HH,10.5418,29.6,36.3,1.02283776490173,2.93,16.195514692754216
4/2/2023,post,HIGH,HIGH,PA12HH,16.1684,29.6,36.3,1.02283776490173,2.93,24.839738921088166
