SampleID,AT,ET,light_dark,P_R,mmol.gram.hr,mmol.gram.hr_uncorr,Temp.C
B1_L,LOW,LOW,LIGHT,GP,0.13444951226748938,0.1338323567927762,29.926453456790124
B10_L,LOW,LOW,LIGHT,GP,0.11736614373204879,0.1309547617190834,29.845010562515355
B2_H,LOW,HIGH,LIGHT,GP,0.2010537847454126,0.20051137470471356,30.0454425136612
B3_H,LOW,HIGH,LIGHT,GP,0.13427082440001054,0.14473398552798777,29.989096583266075
B3_L,LOW,LOW,LIGHT,GP,0.07393915051253612,0.0762014764265487,29.8891494057725
B4_H,LOW,HIGH,LIGHT,GP,0.10672857856987071,0.11062860264349894,30.046212762297902
B4_L,LOW,LOW,LIGHT,GP,0.17314194969613905,0.1762301703060016,29.4307559576346
B5_H,LOW,HIGH,LIGHT,GP,0.13844546175586459,0.12462949791066252,29.757842613636363
B5_L,LOW,LOW,LIGHT,GP,0.10484758960197446,0.09196476853752658,29.827963636363634
B6_H,LOW,HIGH,LIGHT,GP,0.11573262509094326,0.1007864099487091,29.82209713804714
B6_L,LOW,LOW,LIGHT,GP,0.18214839466570484,0.16945808079360458,29.550918181818183
B7_H,LOW,HIGH,LIGHT,GP,0.09521123189652098,0.09827743881321802,29.676807412790694
B7_L,LOW,LOW,LIGHT,GP,0.11229955920660295,0.11527747442127081,29.918256540697676
B8_H,LOW,HIGH,LIGHT,GP,0.17685007850260887,0.18028063841081732,29.990296511627907
B8_L,LOW,LOW,LIGHT,GP,0.2035956422727052,0.20620672068933987,29.95505214389535
B9_H,LOW,HIGH,LIGHT,GP,0.13399937748902385,0.14555123813738324,30.005908931934357
B9_L,LOW,LOW,LIGHT,GP,0.13347993696568244,0.15173692611084275,29.843847995695455
