SampleID,AT,ET,SpeciesID,preVol,postVol,Respo,notes
A5_H,HIGH,HIGH,GS4HH,412,443,yes,
A5_H,HIGH,HIGH,DN7HH,268,275,yes,
A5_H,HIGH,HIGH,PR8HH,400,425,yes,
A5_H,HIGH,HIGH,LK5HH,381,406,yes,
A5_H,HIGH,HIGH,PA4HH,412,431,yes,
A10_H,HIGH,HIGH,LC4HH,805,825,yes,LC10BHH
A5_L,HIGH,LOW,TO13HL,810,830,yes,
A5_L,HIGH,LOW,DB2HL,805,820,yes,
A5_L,HIGH,LOW,GS9HL,418,450,yes,
A5_L,HIGH,LOW,DN1HL,268,281,yes,
A5_L,HIGH,LOW,PR6HL,375,406,yes,
A5_L,HIGH,LOW,PA3HL,412,437,yes,
A5_L,HIGH,LOW,LK4HL,381,400,yes,
A6_H,HIGH,HIGH,TO7HH,835,850,yes,
A6_H,HIGH,HIGH,DB13HH,830,840,yes,
A6_H,HIGH,HIGH,LC5HH,830,855,yes,
A6_H,HIGH,HIGH,GS7HH,375,400,yes,
A6_H,HIGH,HIGH,DN10HH,212,231,yes,
A6_H,HIGH,HIGH,PR3HH,387,406,yes,
A6_H,HIGH,HIGH,PA3HH,400,425,yes,
A6_H,HIGH,HIGH,LK4HH,381,412,yes,
A2_L,HIGH,LOW,LC5HL,830,855,yes,
A6_L,HIGH,LOW,DB12HL,900,905,yes,
A6_L,HIGH,LOW,TO11HL,895,915,yes,
A6_L,HIGH,LOW,GS13HL,375,418,yes,
A6_L,HIGH,LOW,DN3HL,225,231,yes,
A6_L,HIGH,LOW,PA5HL,412,443,yes,
A6_L,HIGH,LOW,PR3HL,0,0,yes,need to calculate volume
A6_L,HIGH,LOW,LK9HL,387,406,yes,
A7_H,HIGH,HIGH,DB6HH,915,925,yes,
A7_H,HIGH,HIGH,TO2HH,910,925,yes,
A2_H,HIGH,HIGH,LC6HH,880,905,yes,LC11BHH
A7_H,HIGH,HIGH,PA7HH,425,456,yes,
A7_H,HIGH,HIGH,GS9HH,425,456,yes,
A7_H,HIGH,HIGH,DN8HH,268,275,yes,
A7_H,HIGH,HIGH,LK6HH,381,400,yes,
A7_H,HIGH,HIGH,PR5HH,400,425,yes,
A8_L,HIGH,LOW,LC7HL,890,905,yes,LC2BHL
A7_L,HIGH,LOW,TO10HL,900,910,yes,
A7_L,HIGH,LOW,DB14HL,900,910,yes,
A7_L,HIGH,LOW,GS1HL,375,406,yes,
A7_L,HIGH,LOW,PR5HL,375,400,yes,
A7_L,HIGH,LOW,PA10HL,375,400,yes,
A7_L,HIGH,LOW,DN9HL,225,237,yes,
A7_L,HIGH,LOW,LK5HL,387,406,yes,
A8_H,HIGH,HIGH,TO1HH,865,880,yes,
A5_H,HIGH,HIGH,LC8HH,800,820,yes,
A8_H,HIGH,HIGH,DB8HH,860,870,yes,
A8_H,HIGH,HIGH,GS3HH,418,450,yes,
A8_H,HIGH,HIGH,PA12HH,418,450,yes,
A8_H,HIGH,HIGH,DN2HH,175,187,yes,
A8_H,HIGH,HIGH,LK12HH,381,400,yes,
A8_H,HIGH,HIGH,PR1HH,400,425,yes,
A8_L,HIGH,LOW,DB5HL,890,905,yes,
A8_L,HIGH,LOW,TO2HL,890,900,yes,
A3_L,HIGH,LOW,LC8HL,850,890,yes,
A8_L,HIGH,LOW,PA6HL,425,450,yes,
A8_L,HIGH,LOW,GS7HL,425,450,yes,
A8_L,HIGH,LOW,DN11HL,175,187,yes,
A8_L,HIGH,LOW,PR10HL,393,418,yes,
A8_L,HIGH,LOW,LK1HL,387,400,yes,
A9_H,HIGH,HIGH,PA1HH,362,387,yes,"pink puck, labeled PA1HL"
A9_H,HIGH,HIGH,DB5HH,820,840,yes,
A9_H,HIGH,HIGH,DN9HH,212,218,yes,
A9_H,HIGH,HIGH,TO12LH,820,830,yes,
A9_H,HIGH,HIGH,GS6HH,362,400,yes,
A9_H,HIGH,HIGH,LC9HH,815,830,yes,LC9BHH
A9_H,HIGH,HIGH,LK1HH,381,400,yes,
A9_H,HIGH,HIGH,PR10HH,400,418,yes,
A9_L,HIGH,LOW,DB4HL,865,870,yes,
A9_L,HIGH,LOW,TO6HL,865,880,yes,
A7_L,HIGH,LOW,LC9HL,905,925,yes,LC3BHL
A9_L,HIGH,LOW,GS6HL,418,450,yes,
A9_L,HIGH,LOW,DN8HL,175,187,yes,
A9_L,HIGH,LOW,PA12HL,418,443,yes,
A9_L,HIGH,LOW,LK7HL,381,400,yes,
A9_L,HIGH,LOW,PR4HL,393,418,yes,
B1_H,LOW,HIGH,TO5LH,845,860,yes,
B1_H,LOW,HIGH,DB10LH,840,860,yes,
B1_H,LOW,HIGH,HO5LH,835,860,yes,
B1_H,LOW,HIGH,VF9LH,840,850,yes,
B1_H,LOW,HIGH,GS7LH,381,400,yes,
B1_H,LOW,HIGH,PA2LH,387,406,yes,
B1_H,LOW,HIGH,PR10LH,387,412,yes,
B1_H,LOW,HIGH,ME13LH,387,412,yes,
B1_L,LOW,LOW,TO6LL,870,890,yes,
B1_L,LOW,LOW,DB6LL,870,885,yes,
B1_L,LOW,LOW,HO1LL,870,890,yes,
B1_L,LOW,LOW,VF4LL,865,890,yes,
B1_L,LOW,LOW,GS12LL,393,425,yes,
B1_L,LOW,LOW,PA11LL,400,425,yes,
B1_L,LOW,LOW,PR4LL,390,425,yes,
B1_L,LOW,LOW,ME1LL,865,875,yes,
B10_L,LOW,LOW,DB7LL,875,885,yes,
B10_L,LOW,LOW,TO9LL,880,890,yes,
B10_L,LOW,LOW,VF6LL,870,880,yes,
B10_L,LOW,LOW,HO3LL,870,890,yes,
B10_L,LOW,LOW,ME12LL,418,437,yes,
B10_L,LOW,LOW,GS8LL,418,443,yes,
B10_L,LOW,LOW,PA1LL,418,443,yes,
B10_L,LOW,LOW,PR13LL,375,393,yes,
B2_H,LOW,HIGH,TO2LH,865,880,yes,
B2_H,LOW,HIGH,DB9LH,860,885,yes,
B2_H,LOW,HIGH,HO12LH,860,885,yes,
B2_H,LOW,HIGH,VF3LH,860,870,yes,
B2_H,LOW,HIGH,GS1LH,400,425,yes,
B2_H,LOW,HIGH,PA6LH,400,425,yes,
B2_H,LOW,HIGH,PR1LH,400,425,yes,
B2_H,LOW,HIGH,ME12LH,393,412,yes,
B2_L,LOW,LOW,TO2LL,850,870,yes,
B2_L,LOW,LOW,DB13LL,855,875,yes,
B2_L,LOW,LOW,HO13LL,855,875,yes,
B2_L,LOW,LOW,VF5LL,860,870,yes,
B2_L,LOW,LOW,GS1LL,393,425,yes,
B2_L,LOW,LOW,PA2LL,387,412,yes,
B2_L,LOW,LOW,PR11LL,387,412,yes,
B2_L,LOW,LOW,ME2LL,390,412,yes,
B3_H,LOW,HIGH,ME3LH,362,375,yes,
B3_H,LOW,HIGH,TO1LH,810,830,yes,
B3_H,LOW,HIGH,DB6LH,810,825,yes,
B3_H,LOW,HIGH,HO8LH,800,810,yes,
B3_H,LOW,HIGH,VF12LH,805,815,yes,
B3_H,LOW,HIGH,PA3LH,367,387,yes,
B3_H,LOW,HIGH,GS12LH,362,375,yes,
B3_H,LOW,HIGH,PR9LH,387,412,yes,
B3_L,LOW,LOW,VF7LL,800,815,yes,
B3_L,LOW,LOW,TO10LL,795,810,yes,
B3_L,LOW,LOW,DB8LL,790,805,yes,
B3_L,LOW,LOW,GS7LL,400,431,yes,
B3_L,LOW,LOW,PA9LL,400,431,yes,
B3_L,LOW,LOW,ME11LL,381,393,yes,
B3_L,LOW,LOW,HO5LL,820,845,yes,
B3_L,LOW,LOW,PR12LL,375,400,yes,
B4_H,LOW,HIGH,DB5LH,835,850,yes,
B4_H,LOW,HIGH,VF11LH,830,840,yes,
B4_H,LOW,HIGH,TO4LH,830,845,yes,
B4_H,LOW,HIGH,GS9LH,412,431,yes,
B4_H,LOW,HIGH,HO6LH,810,825,yes,
B4_H,LOW,HIGH,PR4LH,387,412,yes,
B4_H,LOW,HIGH,PA1LH,412,437,yes,
B4_H,LOW,HIGH,ME5LH,381,400,yes,
B4_L,LOW,LOW,VF1LL,845,860,yes,
B4_L,LOW,LOW,DB4LL,840,855,yes,
B4_L,LOW,LOW,TO4LL,840,855,yes,
B4_L,LOW,LOW,GS6LL,418,443,yes,
B4_L,LOW,LOW,ME9LL,381,400,yes,
B4_L,LOW,LOW,PA8LL,387,412,yes,
B4_L,LOW,LOW,PR9LL,375,400,yes,
B4_L,LOW,LOW,HO8LL,815,835,yes,
B5_H,LOW,HIGH,DB1LH,855,865,yes,
B5_H,LOW,HIGH,HO4LH,850,860,yes,
B5_H,LOW,HIGH,TO7LH,855,875,yes,
B5_H,LOW,HIGH,GS8LH,418,443,yes,
B5_H,LOW,HIGH,PA8LH,418,443,yes,
B5_H,LOW,HIGH,ME11LH,381,400,yes,
B5_H,LOW,HIGH,VF5LH,855,860,yes,
