SpeciesID,Sp,SpRep,AT,ET,delWeight.g,pWeight,delWeight.g_norm,delTopLength.cm,pLength,delVolume.ml,pVolume
PA1HH,PA,1,HIGH,HIGH,10.366262281207561,44.05796748790861,0.07003439125336472,NA,NA,NA,NA
ME1LL,ME,1,LOW,LOW,0.7470473159881994,32.658635322755444,0.030640628129522465,NA,NA,NA,NA
ME1LH,ME,1,LOW,HIGH,0.18383436561965194,7.03242533674833,0.010769378364488312,NA,NA,NA,NA
ME2LL,ME,2,LOW,LOW,0.8042632239325922,6.755974261160187,0.019031104345115794,NA,NA,NA,NA
ME2LH,ME,2,LOW,HIGH,1.204878120319235,33.2873582502798,0.04330947010874238,NA,NA,NA,NA
ME3LL,ME,3,LOW,LOW,0.4109933670001542,4.930065537154417,0.013752358751632212,NA,NA,NA,NA
ME3LH,ME,3,LOW,HIGH,0.5430413290259937,7.028050681386879,0.01707684653410404,NA,NA,NA,NA
ME4LL,ME,4,LOW,LOW,1.1972301279177833,16.777610543014546,0.029625961308007796,NA,NA,NA,NA
ME4LH,ME,4,LOW,HIGH,0.8305154096900598,18.939803769121763,0.032852250671275514,NA,NA,NA,NA
ME5LL,ME,5,LOW,LOW,0.6723084780526412,21.036754275826745,0.02374450199873142,NA,NA,NA,NA
ME5LH,ME,5,LOW,HIGH,0.25364829818303747,3.005854637818137,0.006178084403040263,NA,NA,NA,NA
ME6LL,ME,6,LOW,LOW,1.1006636701839083,16.086392689309992,0.043907084412087925,NA,NA,NA,NA
ME6LH,ME,6,LOW,HIGH,0.9403819044076132,17.758507433434342,0.027661382872427302,NA,NA,NA,NA
ME7LL,ME,7,LOW,LOW,0.730696947450606,12.016700044742198,0.028353963380301925,NA,NA,NA,NA
ME7LH,ME,7,LOW,HIGH,0.6987174344548057,12.808009366150234,0.024657041513093832,NA,NA,NA,NA
ME8LL,ME,8,LOW,LOW,1.339163014429488,14.882665022570182,0.031184169927437236,NA,NA,NA,NA
ME8LH,ME,8,LOW,HIGH,0.7739414091788959,13.77462447280841,0.022552987773807757,NA,NA,NA,NA
ME9LH,ME,9,LOW,HIGH,0.8727737075537068,8.218499914579994,0.01957755591601197,NA,NA,NA,NA
ME9LL,ME,9,LOW,LOW,0.7000608544178917,6.660519741029783,0.016568413182621804,NA,NA,NA,NA
ME10LL,ME,10,LOW,LOW,-0.054472594567304355,-1.1239911198291987,-0.0015320380836149861,NA,NA,NA,NA
ME10LH,ME,10,LOW,HIGH,0.06226287197432079,0.5664924378578214,0.001397855133890671,NA,NA,NA,NA
ME11LL,ME,11,LOW,LOW,0.0018972160023125184,0.02852775091704947,6.323007937062799e-5,NA,NA,NA,NA
ME11LH,ME,11,LOW,HIGH,1.2627481693733191,13.4035903830836,0.024937430102485416,NA,NA,NA,NA
ME12LL,ME,12,LOW,LOW,0.9545460117974605,23.642320869385387,0.03389272915448944,NA,NA,NA,NA
ME12LH,ME,12,LOW,HIGH,0.9789866026123857,17.69129909686257,0.02963477598080299,NA,NA,NA,NA
ME13LL,ME,13,LOW,LOW,1.2036956851403797,9.546099499295865,0.027110934846142125,NA,NA,NA,NA
ME13LH,ME,13,LOW,HIGH,1.5722607127634909,8.488021879593846,0.02902740553835784,NA,NA,NA,NA
PR1LL,PR,1,LOW,LOW,7.161461613207699,44.7230541216213,0.09456024612874231,NA,NA,NA,NA
PR1LH,PR,1,LOW,HIGH,4.03535905949315,21.859333032927207,0.05605129340558121,NA,NA,NA,NA
PR2LL,PR,2,LOW,LOW,4.558196688176574,36.966525425187356,0.11429007284302653,NA,NA,NA,NA
PR2LH,PR,2,LOW,HIGH,3.2727847200166558,33.90435217941673,0.11205887295586636,NA,NA,NA,NA
PR3LL,PR,3,LOW,LOW,4.044973070844785,59.24090872490909,0.12970427455691136,NA,NA,NA,NA
PR3LH,PR,3,LOW,HIGH,2.7524188315846336,37.60943435409168,0.11359361923800819,NA,NA,NA,NA
PR13HH,PR,13,HIGH,HIGH,5.009160612239066,43.54199958983953,0.12827904194682535,NA,NA,NA,NA
PR13HL,PR,13,HIGH,LOW,4.464923181076681,43.892204029967694,0.10259752403848911,NA,NA,NA,NA
PR4LL,PR,4,LOW,LOW,6.414444435254218,37.612593650441035,0.09298554888483375,NA,NA,NA,NA
PR4LH,PR,4,LOW,HIGH,5.0717705873846,36.89089049517392,0.083918027098949,NA,NA,NA,NA
PR5LL,PR,5,LOW,LOW,3.783794864227003,57.6772103033893,0.0922308564096121,NA,NA,NA,NA
PR5LH,PR,5,LOW,HIGH,2.0980586453757653,31.884817362203172,0.07528958209980166,NA,NA,NA,NA
